CALLE;NUMERO;M2;DOLARES;U_S_M2;PISO;AMBIENTES;DORMITORIO;ANTIGUEDAD;A_ESTRENAR;FRENTE_Y_CONTRA;EDIFICACION;BAUL;COCHERA;BANIOS;LAVADERO;DEPENDENCIA;TERRAZA;OBS1;FUENTE;DIRECCION;NOMB_CA_CO;AV_SCORE;AV_SIDE;BARRIOS;COMUNA;AREA;ZONA
        PALESTINA;700;37;65000;1756,8;PB;2;1;;;;;;;0;;;;;INMUEBLESCLARIN.COM/ALMAGRO;700 PALESTINA;PALESTINA;100;L;ALMAGRO;5;4.051.222.618;3
        PERON, JUAN DOMINGO, TTE.;4100;70;130000;1857,1;;3;2;;;FRENTE;DUPLEX;;;1;;;TERRAZA;;ZONAPROP/ALMAGRO;4100 PERON, JUAN DOMINGO, TTE.;TENIENTE GENERAL JUAN DOMINGO PERON;92;L;ALMAGRO;5;4.051.222.618;3
        RIVADAVIA;6600;113;192000;1699,1;;3;2;65;;CONTRAFRENTE;;SI;;1;SI;SI;;;ZONAPROP/FLORES;6600 RIVADAVIA;AV. RIVADAVIA;100;L;FLORES;7;8.594.550.061;3
        PARANA;100;60;145000;2416,7;9;4;3;40;;FRENTE;;;;1;SI;;BALCON TERRAZA;;ARGENPROP.COM/BALVANERA;100 PARANA;PARANA;100;L;SAN NICOLAS;1;2.288.975.233;1
        CABRERA, JOSE A.;2900;73;180000;2465,8;1;2;2;;A ESTRENAR;FRENTE;;;SI;1;SI;;BALCON;;ARGENPROP.COM/PALERMO;2900 CABRERA, JOSE A.;JOSE ANTONIO CABRERA;91;L;RECOLETA;2;6.146.826.409;2
        DIAZ, AVELINO;2000;95;98000;1031,6;;0;0;;;;;;;2;;;;;ZONAPROP.COM_PARQUE CHACABUCO;2000 DIAZ, AVELINO;AVELINO DIAZ;94;L;PARQUE CHACABUCO;7;3.833.086.018;4
        MONTES DE OCA, MANUEL;1100;155;250000;1612,9;;4;3;66;;FRENTE;;;;2;SI;SI;TERRAZA;;BUSCAINMUEBLE/BARRACAS;1100 MONTES DE OCA, MANUEL;AV. MANUEL A. MONTES DE OCA;96;L;BARRACAS;4;7.878.302.179;4
        CABRERA, JOSE A.;2900;91;209000;2296,7;;3;2;;A ESTRENAR;;DUPLEX;;;1;SI;;BALCON TERRAZA;;ARGENPROP.COM/BARRIONORTE;2900 CABRERA, JOSE A.;JOSE ANTONIO CABRERA;91;L;RECOLETA;2;6.146.826.409;2
        CABRERA, JOSE A.;3000;33;75000;2272,7;;1;0;;;;;;;0;;;;;INMUEBLESCLARIN.COM/BARIO NORTE;3000 CABRERA, JOSE A.;JOSE ANTONIO CABRERA;91;L;RECOLETA;2;6.146.826.409;2
        DONADO;3200;31;90000;2903,2;;1;1;1;;;;;;1;;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;3200 DONADO;DONADO;100;L;VILLA URQUIZA;12;5.448.470.069;3
        MITRE, BARTOLOME;2700;60;72000;1200;3;3;2;38;;FRENTE;;;;1;SI;;BALCON;;ARGENPROP.COM/BALVANERA;2700 MITRE, BARTOLOME;BARTOLOME MITRE;95;L;BALVANERA;3;4.341.063.997;3
